tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
Table 6,20074,300,5850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,14.23913044,204.4732824,AA,93.89312977,199.457561,AA,93.89312977,199.457561,1
Table 6,20074,300,7220,"Abilene, Texas, USA","Baltimore, Maryland, USA",1370,12.06521739,247.3094595,AA,96.3963964,249.6506542,AA,96.3963964,249.6506542,2
Table 6,20074,300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,14.23913044,189.2877863,AA,90.83969466,187.8677311,AA,90.83969466,187.8677311,3
Table 6,20074,300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,26.63043478,102.0023674,AA,100,102.0023674,AA,100,102.0023674,4
Table 6,20074,300,24090,"Abilene, Texas, USA","Denver, Colorado, USA",584,11.19565217,203.1343689,AA,97.08737864,203.0286,AA,97.08737864,203.0286,5
Table 6,20074,300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,18.47826087,216.9282353,AA,87.05882353,211.6732432,AA,87.05882353,211.6732432,6
Table 6,20074,300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,13.80434783,234.5291339,AA,60.62992126,233.2492208,CO,29.92125984,231.8444737,7
Table 6,20074,300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,11.63043478,228.8301869,AA,88.78504673,225.9194737,AA,88.78504673,225.9194737,8
Table 6,20074,300,96460,"Abilene, Texas, USA","Washington, D.C., USA",1345,10,285.5084783,AA,93.47826087,279.3641861,AA,93.47826087,279.3641861,9
Table 6,20074,1270,1680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,17.2826087,195.5914465,F9,61.00628931,185.7610309,F9,61.00628931,185.7610309,10
Table 6,20074,1270,5850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,401.1956522,134.2424194,FL,63.6141967,123.2266397,FL,63.6141967,123.2266397,11
Table 6,20074,1270,11030,"Akron/Canton, Ohio, USA","Birmingham, Alabama, USA",585,21.08695652,148.1878351,DL,59.79381443,140.9993103,NW,12.37113402,112.5570833,12
Table 6,20074,1270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,185.4347826,104.9153283,FL,93.72801876,99.23892433,FL,93.72801876,99.23892433,13
Table 6,20074,1270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,44.67391304,152.9596594,DL,34.30656934,153.7649645,FL,32.36009732,124.7806015,14
Table 6,20074,1270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,104.0217391,165.3677221,US,62.06896552,203.9076431,FL,20.89864159,85.10175,15
Table 6,20074,1270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,76.19565217,167.7421113,UA,93.43794579,164.9942748,UA,93.43794579,164.9942748,16
Table 6,20074,1270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,55.54347826,164.9044031,DL,46.77103718,171.7890795,NW,10.95890411,139.6748214,17
Table 6,20074,1270,23700,"Akron/Canton, Ohio, USA","Daytona Beach, Florida, USA",809,13.58695652,140.72008,DL,51.2,161.70375,FL,48,117.61,18
Table 6,20074,1270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,205,177.1858059,F9,91.5164369,175.6777926,FL,1.484623542,152.2792857,19
Table 6,20074,1270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,71.19565217,158.5020305,FL,43.51145038,143.8829474,FL,43.51145038,143.8829474,20
Table 6,20074,1270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,138.4782609,144.4393799,FL,85.32182104,141.094057,DL,8.791208791,136.8108036,21
Table 6,20074,1270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,14.67391304,151.1274815,US,60.74074074,152.9460976,DL,35.55555556,151.8325,22
Table 6,20074,1270,33530,"Akron/Canton, Ohio, USA","Greenville/Spartanburg, Sc, USA",417,13.47826087,194.9658871,DL,53.22580645,185.7363636,DL,53.22580645,185.7363636,23
Table 6,20074,1270,34290,"Akron/Canton, Ohio, USA","Gulfport/Biloxi, Mississippi, USA",841,14.23913044,153.510229,FL,51.90839695,114.7226471,FL,51.90839695,114.7226471,24
Table 6,20074,1270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,47.60869565,157.5449543,DL,47.48858448,162.0479327,NW,23.51598174,135.2640777,25
Table 6,20074,1270,38490,"Akron/Canton, Ohio, USA","Indianapolis, Indiana, USA",269,10.54347826,136.5374227,NW,63.91752577,120.436129,NW,63.91752577,120.436129,26
Table 6,20074,1270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,41.08695652,157.160873,FL,38.0952381,136.7999306,FL,38.0952381,136.7999306,27
Table 6,20074,1270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,20.2173913,179.964785,DL,47.84946237,185.2149438,FL,19.35483871,133.9694444,28
